Text,Sentiment,ReplyToText,ReplyToSentiment,IsSarcastic
Unions because when they end up busted up at least they will still look better than the others,Positive,You can only wear one of these collabs for the rest of your life. Which one is it? 🤔 📸: carlkho_IG https://t.co/2mYjxXmtPl,Negative,1
The only people I know who likes Barstool are Boomers,Negative,I just want to throw it out there I hated Barstool before it was cool,Negative,0
Don t be lmao for ONE it means fire D And second Magic Johnson is probably undetectable so he can t pass it o,Negative,jus heard ina song “i give her that magic Johnson” ... I’m concerned,Neutral,1
I dont see many Barstool employees complaining about their salary health care and 401k,Negative,@GUNNS4HIRE @TwitterMoments “If the work environment and pay are fair” is a pretty big caveat there,Positive,0
AOC squad member attacking Barstool Sports and Dave Portnoy is a huge mistake Portnoy a great businessman knows his rights AOC knows nothing ,Negative,Predict Trump’s inevitable tweet to Dave / Barstool sports. Closest tweet gets free merch. Reply here:,Negative,1
August 13th nonetheless a Magic Johnson list is always welcomed,Negative,@BrandonTowslee Lol. Very vital info on a Tuesday in August. I’m starting to think Magic doesn’t actually write his own tweets 🤔,Negative,1
Hammond PS1 metal gear solid had the best 4th wall moment in video game history PS2 Metal gear solid 3 PS3 The last of us PS4 Bloodborne Sekiro could take the spot with some DLC but I wasn t feel the lore as much Metal gear solid 3 is SLEPT ON ,Negative,PS1: Final Fantasy 7 PS2: GTA Vice City PS3: The Last Of Us PS4: God Of War Metal Gear Solid could've easily been on PS1 but Its hard to find any character more iconic then cloud.,Negative,0
Unions have no modern use in America save political activism What rights has any union secured for its workers in the last 30 years ,Negative,This is 100% correct. And it's not making threats of termination for unionizing — a CEO trying to intimidate his employees for organizing by making them attend a disciplinary meeting also crosses this line. https://t.co/btwH4ZXlwE,Negative,0
The days of Unions in this country are in the past They re nothing but a political money machine now ,Negative,@AOC @NLRB @AFLCIO Unions have brought dignity to millions of people and their families. Thank you @AOC for standing up for what's right.,Positive,0
But which is number one Lol Happy 60th Birthday Magic Johnson ,Negative,Top 60 places to travel: https://t.co/x69iUUKGaf,Neutral,1
Blatantly breaking federal law and getting your ass handed to you in court to own the unions epic style ,Negative,I will come crush your union just for fun. https://t.co/NoILnBSk8P,Positive,0
I m going to mute you now though because I ve never found any of your insight content interesting Just felt like quote tweeting a douchebag with a check mark who was subtly taking a job at all the people that work for Barstool that do a quality job covering their resp sports,Negative,@AllbrightNFL Literally exactly what happened. Who comes to Barstool for sports? A lot of people. Who comes to you for anything? Also probably a lot of people.,Neutral,1
Protecting the American people is your job not the job of some protection racket Unions are anti employer and anti consumer ,Negative,If you’re a boss tweeting firing threats to employees trying to unionize you are likely breaking the law &amp;can be sued in your words “on the spot.” ALL workers in the US have the protected freedom to organize for better conditions. See @NLRB &amp;union orgs like @AFLCIO for tips. https://t.co/bU7WlHrp1d,Negative,0
He runs Barstool sports and they were joking about unionizing today AOC chimed in with her usual bullshit and here we are ,Negative,@ParkerMav I have no idea what this is about. I just saw it in my feed. Why is this guy a topic?,Negative,0
I have never used a single cheat in GTA San Andreas I am trying to get 100 without using them ,Negative,@LameaChristian my dumb kid self always used cheats i should try beating it again legit for once.,Negative,0
Barstool Portnoy and Little Women ,Neutral,I’m trending in 3 different spots. Business is BOOMING. (I’m a lefty) https://t.co/qTQVNmRCxf,Negative,1
Unions are great if you have enough cash on hand to survive the first five years sitting on a board lucky to get 2 weeks worth of work in a year And when you complain to your rep he asks you to become a recruiter lol fuckoff,Positive,If you’re a boss tweeting firing threats to employees trying to unionize you are likely breaking the law &amp;can be sued in your words “on the spot.” ALL workers in the US have the protected freedom to organize for better conditions. See @NLRB &amp;union orgs like @AFLCIO for tips. https://t.co/bU7WlHrp1d,Negative,1
Having been a part of a union and worked with unions I can safely say in my experience unions do not bargain with or even care about the employer Unions TELL employers to meet their demands or else ,Neutral,@TRHLofficial @stoolpresidente @barstoolsports cancer? What's more free market than a group of employees coming together to bargain with the employer over conditions?,Negative,0
Where s the money coming from Johnson More cuts in public services or higher taxes or both Or did you just find the magic money forest ,Negative,Today we’re investing another £100 million to stop drugs weapons and mobile phones coming into prisons. We'll keep prison officers safe and make our prisons properly equipped to reform and rehabilitate. https://t.co/tsIi12gsX8,Negative,1
